Indicator,Value ,Year
,Emissions: Gasoline (tons of CO2eq),70626715.49,2015
,Emissions: Sum (tons of CO2eq),186647577.7,2015
,Natural gas (TJ),66912.384,2016
,Diesel oil (TJ),1439005.127,2016
,Biodiesel (TJ),101159.5205,2016
,Gasoline (TJ),1015603.089,2016
,Anhydrous ethanol (TJ),248956.8556,2016
,Hydrated ethanol (TJ),334023.1587,2016
,Energy Consumption: Sum (TJ),3205660.135,2016
,Emissions:Natural Gas (tons of CO2eq),3945287.985,2016
,Emissions: Diesel oil (tons of CO2eq),108487891.7,2016
,Emissions: Gasoline (tons of CO2eq),73433181.32,2016
,Emissions: Sum (tons of CO2eq),185866361,2016
,Natural gas (TJ),72848.16,2017
,Diesel oil (TJ),1429304.144,2017
,Biodiesel (TJ),112508.3014,2017
,Gasoline (TJ),1042290.981,2017
,Anhydrous ethanol (TJ),270741.0799,2017
,Hydrated ethanol (TJ),310895.5592,2017
,Energy Consumption: Sum (TJ),3238588.226,2017
,Emissions:Natural Gas (tons of CO2eq),4295273.21,2017
,Emissions: Diesel oil (tons of CO2eq),107756525.8,2017
,Emissions: Gasoline (tons of CO2eq),75362849.42,2017
,Emissions: Sum (tons of CO2eq),187414648.4,2017
,Natural gas (TJ),81745.36944,2018
,Diesel oil (TJ),1409850.168,2018
,Biodiesel (TJ),141499.7028,2018
,Gasoline (TJ),905416.475,2018
,Anhydrous ethanol (TJ),229085.9503,2018
,Hydrated ethanol (TJ),431050.8653,2018
,Energy Consumption: Sum (TJ),3198648.531,2018
,Emissions:Natural Gas (tons of CO2eq),4819870.473,2018
,Emissions: Diesel oil (tons of CO2eq),106289873.1,2018
,Emissions: Gasoline (tons of CO2eq),65466138.23,2018
,Emissions: Sum (tons of CO2eq),176575881.8,2018
,Natural gas (TJ),84438.4464,2019
,Diesel oil (TJ),1440508.093,2019
,Biodiesel (TJ),155132.2478,2019
,Gasoline (TJ),901007.8211,2019
,Anhydrous ethanol (TJ),236696.6118,2019
,Hydrated ethanol (TJ),497948.0197,2019
,Energy Consumption: Sum (TJ),3315731.24,2019
,Emissions:Natural Gas (tons of CO2eq),4978659.677,2019
,Emissions: Diesel oil (tons of CO2eq),108601201.6,2019
,Emissions: Gasoline (tons of CO2eq),65147370.51,2019
,Emissions: Sum (tons of CO2eq),178727231.8,2019
